ID,lat,lon,
518,36.7825554,3.2607691,
519,36.7874292,3.2774698,
520,36.7879634,3.2776297,
521,36.7876613,3.277901,
522,36.7878198,3.2771169,
523,36.7835946,3.3118488,
524,36.7916301,3.303773,
525,36.7844898,3.3133653,
526,36.7848739,3.313381,
527,36.7839726,3.308073,
528,36.7844323,3.3080435,
529,36.7919435,3.3013917,
530,36.78466,3.3080623,
531,36.7849672,3.3081058,
532,36.7845419,3.3080488,
533,36.7835322,3.3144078,
535,36.798765,3.257631,
536,36.8014671,3.257932,
537,36.7945507,3.2571857,
538,36.7972292,3.2574503,
539,36.7861311,3.289,
540,36.7867652,3.2840224,
541,36.7871241,3.2619575,
542,36.7912812,3.265174,
543,36.7889923,3.2730446,
544,36.7901288,3.2558892,
545,36.7900495,3.2562355,
546,36.7899703,3.2562318,
547,36.7889751,3.2560786,
548,36.7888248,3.2561494,
549,36.788792,3.2563015,
550,36.7887147,3.2565966,
551,36.7879672,3.2590642,
552,36.7858566,3.2661836,
553,36.7850592,3.268913,
554,36.7840487,3.272269,
555,36.7830383,3.2760102,
556,36.7837462,3.2762343,
557,36.7860972,3.2770326,
558,36.7933198,3.2793709,
559,36.7819935,3.3036499,
560,36.7822384,3.2987497,
561,36.7825754,3.2915194,
562,36.782686,3.2887866,
563,36.7929251,3.2894114,
