source,target,length,type,speed,bidirectional
66,67,59.11,residential,30,1
67,447,44.9,residential,30,1
72,819,2.48,service,10,1
819,73,13.92,service,10,1
73,74,36.18,service,10,1
74,75,12.55,service,10,1
75,76,6.82,service,10,1
128,829,248.89,unclassified,50,1
829,827,61.95,unclassified,50,1
827,828,57.07,unclassified,50,1
828,826,57.17,unclassified,50,1
826,825,30.77,unclassified,50,1
825,129,30.68,unclassified,50,1
183,168,29.55,residential,30,1
168,154,140.94,residential,30,1
154,162,164.71,residential,30,1
184,165,125.75,residential,30,1
165,186,21.93,residential,30,1
186,161,11.95,residential,30,1
161,178,38.44,residential,30,1
178,155,25.82,residential,30,1
155,177,23.06,residential,30,1
177,3184,13.47,residential,30,1
3184,160,24.38,residential,30,1
158,153,75.87,residential,30,1
172,179,40.64,residential,30,1
179,2968,109.47,residential,30,1
175,163,68.49,residential,30,1
163,159,86.07,residential,30,1
170,2963,127.72,residential,30,1
4330,167,331.34,residential,30,1
176,174,39.56,residential,30,1
174,173,4.99,residential,30,1
173,169,4.09,residential,30,1
169,171,222.82,residential,30,1
171,151,6.74,residential,30,1
164,157,100.4,residential,30,1
157,166,22.01,residential,30,1
166,152,212.89,residential,30,1
195,193,146.77,residential,30,1
211,228,15.09,residential,30,1
228,231,67.24,residential,30,1
4288,4289,187.23,residential,30,1
4289,4290,42.41,residential,30,1
4294,4295,105.33,residential,30,1
4295,4346,6.47,residential,30,1
4346,4296,24.47,residential,30,1
4296,4348,46.58,residential,30,1
2524,72,4.2,tertiary,70,1
72,1632,39.11,tertiary,70,1
1632,387,60.36,tertiary,70,1
387,397,17.73,tertiary,70,1
397,4538,10.83,tertiary,70,1
4538,389,11.05,tertiary,70,1
389,4540,6.64,tertiary,70,1
4540,2623,8.26,tertiary,70,1
2623,3805,83.05,tertiary,70,1
3805,1014,9.52,tertiary,70,1
1014,2340,58.01,tertiary,70,1
2340,390,105.33,tertiary,70,1
390,3810,13.38,tertiary,70,1
3810,3809,11.69,tertiary,70,1
3809,391,15.72,tertiary,70,1
4303,1372,15.04,primary,40,0
1372,836,2.87,primary,40,0
836,588,35.3,primary,40,0
588,595,15.53,primary,40,0
595,1371,18.16,primary,40,0
1371,833,20.68,primary,40,0
833,4306,94.13,primary,40,0
4306,1370,52.89,primary,40,0
1370,3327,33.35,primary,40,0
3327,1388,32.52,primary,40,0
1388,3328,21,primary,40,0
3328,2950,233.75,primary,40,0
4304,1962,39.72,primary,40,0
1962,582,89.15,primary,40,0
582,2512,12.72,primary,40,0
555,4311,45.95,residential,30,1
4311,4313,23.73,residential,30,1
4313,4312,22.57,residential,30,1
2201,4314,58.81,residential,30,1
4314,4315,84.87,residential,30,1
4299,4362,15.11,residential,30,1
4362,4317,21.97,residential,30,1
4317,4360,42.06,residential,30,1
4360,4318,5.42,residential,30,1
2868,4361,8.12,residential,30,1
4361,4320,57.62,residential,30,1
3773,112,5.81,unclassified,50,1
112,4322,53.39,unclassified,50,1
4322,4329,63.62,unclassified,50,1
4329,4323,11.35,unclassified,50,1
4323,4324,29.05,unclassified,50,1
4238,4325,32.1,unclassified,50,1
4325,4326,26.15,unclassified,50,1
4326,4327,32.99,unclassified,50,1
1010,377,75.23,residential,30,1
377,4340,88.42,residential,30,1
4340,4337,18.77,residential,30,1
4337,4338,74.3,residential,30,1
4338,4339,63.22,residential,30,1
1957,4341,8.48,service,10,1
4341,4342,7.67,service,10,1
4342,4343,15.58,service,10,1
4343,4344,19.14,service,10,1
4344,4345,17.64,service,10,1
4347,4349,26.29,residential,30,1
4349,4296,51.26,residential,30,1
4296,4297,63.49,residential,30,1
4297,4298,41.37,residential,30,1
4351,222,82.79,residential,30,1
222,2402,25.7,residential,30,1
2402,4352,50.55,residential,30,1
4352,4353,24.61,residential,30,1
4353,224,4.95,residential,30,1
224,4354,5.66,residential,30,1
4354,4357,24.23,residential,30,1
4357,4355,50.8,residential,30,1
4355,4356,10.07,residential,30,1
4356,2406,27.91,residential,30,1
2406,2405,25.31,residential,30,1
2405,2401,24.93,residential,30,1
2364,4431,4.37,residential,30,0
4431,4430,4.39,residential,30,0
4430,4429,4.38,residential,30,0
4429,4428,4.37,residential,30,0
4434,4433,5.54,residential,30,0
4433,4432,5.53,residential,30,0
4432,2364,5.54,residential,30,0
4185,4442,38.38,service,10,1
4442,830,38.38,service,10,1
830,4439,9.93,service,10,1
4443,4442,81.87,service,10,1
4492,4491,84.52,residential,30,1
4494,4493,99.3,service,10,1
4502,4501,68.6,residential,30,1
4501,4500,1.92,residential,30,1
4500,4499,1.93,residential,30,1
4499,4498,1.92,residential,30,1
4498,4497,1.92,residential,30,1
4497,4496,1.93,residential,30,1
4496,4495,1.93,residential,30,1
4552,4551,56.83,residential,30,1
4551,4550,15.31,residential,30,1
4550,4549,15.31,residential,30,1
4549,4548,15.19,residential,30,1
4548,4547,14.99,residential,30,1
4547,4546,43.91,residential,30,1
4546,4545,4.8,residential,30,1
4545,4541,4.8,residential,30,1
4541,4544,4.79,residential,30,1
4544,4543,4.79,residential,30,1
4543,4542,4.79,residential,30,1
4542,4540,103.15,residential,30,1
4156,4160,5.02,service,10,1
4160,4145,10.5,service,10,1
4145,4142,70.76,service,10,1
4142,4155,25.02,service,10,1
4155,4154,5.98,service,10,1
4154,4153,4.71,service,10,1
4153,4152,48.97,service,10,1
4152,4151,5.99,service,10,1
4151,4150,7.63,service,10,1
4150,4149,7.6,service,10,1
4149,4141,4.16,service,10,1
4141,4143,12.95,service,10,1
4143,4144,39.86,service,10,1
4144,4148,22.33,service,10,1
4148,4147,7.41,service,10,1
4147,4146,6.77,service,10,1
4146,4145,66.73,service,10,1
4171,4170,75.53,unclassified,50,1
4170,4169,18.41,unclassified,50,1
